[2025-04-25 22:04:41] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': 'GUILD_CREATE', 's': 2, 'op': 0, 'd': {'afk_channel_id': None, 'emojis': [], 'max_members': 500000, 'system_channel_flags': 0, 'region': 'deprecated', 'profile': None, 'discovery_splash': None, 'latest_onboarding_question_id': None, 'unavailable': False, 'verification_level': 0, 'banner': None, 'nsfw_level': 0, 'premium_progress_bar_enabled': False, 'soundboard_sounds': [], 'guild_scheduled_events': [], 'id': '1344362179893137488', 'mfa_level': 0, 'clan': None, 'max_stage_video_channel_users': 50, 'vanity_url_code': None, 'name': 'Brothers😈☠💀👑', 'application_command_counts': {}, 'inventory_settings': None, 'threads': [], 'lazy': True, 'stage_instances': [], 'large': False, 'default_message_notifications': 0, 'features': [], 'description': '', 'voice_states': [], 'presences': [], 'application_id': None, 'premium_features': None, 'stickers': [], 'channels': [{'version': 1740591320930, 'type': 4, 'position': 0, 'permission_overwrites': [], 'name': 'Text Channels', 'id': '1344362180719677480', 'flags': 0}, {'version': 1740591320933, 'type': 0, 'topic': None, 'rate_limit_per_user': 0, 'position': 1, 'permission_overwrites': [], 'parent_id': '1344362180719677480', 'name': 'general', 'last_message_id': '1365366342315671643', 'id': '1344362180719677481', 'flags': 0}, {'version': 1740591320937, 'type': 0, 'topic': None, 'rate_limit_per_user': 0, 'position': 2, 'permission_overwrites': [], 'parent_id': '1344362180719677480', 'name': 'clips-and-highlights', 'last_message_id': '1364224810674028564', 'id': '1344362180719677482', 'flags': 0}, {'version': 1740591320940, 'type': 4, 'position': 3, 'permission_overwrites': [], 'name': 'Voice Channels', 'id': '1344362180719677483', 'flags': 0}, {'version': 1740591320944, 'user_limit': 0, 'type': 2, 'rtc_region': None, 'rate_limit_per_user': 0, 'position': 4, 'permission_overwrites': [], 'parent_id': '1344362180719677483', 'name': 'Lobby', 'last_message_id': None, 'id': '1344362180719677484', 'flags': 0, 'bitrate': 64000}, {'version': 1740591320947, 'user_limit': 0, 'type': 2, 'rtc_region': None, 'rate_limit_per_user': 0, 'position': 5, 'permission_overwrites': [], 'parent_id': '1344362180719677483', 'name': 'Gaming', 'last_message_id': None, 'id': '1344362180719677485', 'flags': 0, 'bitrate': 64000}], 'owner_id': '1268838238139973653', 'incidents_data': None, 'icon': 'f90dd82a644d7b21ee5c6e8ded6a2b76', 'system_channel_id': '1344362180719677481', 'home_header': None, 'nsfw': False, 'member_count': 4, 'activity_instances': [], 'splash': None, 'premium_tier': 0, 'explicit_content_filter': 0, 'members': [{'user': {'username': 'SigmaBot', 'public_flags': 0, 'primary_guild': None, 'id': '1365249312577159230', 'global_name': None, 'display_name': None, 'discriminator': '0638', 'collectibles': None, 'clan': None, 'bot': True, 'avatar_decoration_data': None, 'avatar': None}, 'roles': ['1365255432633057306'], 'premium_since': None, 'pending': False, 'nick': None, 'mute': False, 'joined_at': '2025-04-25T09:17:40.482000+00:00', 'flags': 0, 'deaf': False, 'communication_disabled_until': None, 'banner': None, 'avatar': None}], 'safety_alerts_channel_id': None, 'embedded_activities': [], 'hub_type': None, 'public_updates_channel_id': None, 'rules_channel_id': None, 'afk_timeout': 300, 'version': 1745598379712, 'preferred_locale': 'en-US', 'max_video_channel_users': 25, 'joined_at': '2025-04-25T09:17:40.482000+00:00', 'roles': [{'version': 1740591320923, 'unicode_emoji': None, 'tags': {}, 'position': 0, 'permissions': '2248473465835073', 'name': '@everyone', 'mentionable': False, 'managed': False, 'id': '1344362179893137488', 'icon': None, 'hoist': False, 'flags': 0, 'colors': {'tertiary_color': None, 'secondary_color': None, 'primary_color': 0}, 'color': 0}, {'version': 1745598355356, 'unicode_emoji': None, 'tags': {'bot_id': '1365249312577159230'}, 'position': 3, 'permissions': '563414078712928', 'name': 'SigmaBot', 'mentionable': False, 'managed': True, 'id': '1365255432633057306', 'icon': None, 'hoist': False, 'flags': 0, 'colors': {'tertiary_color': None, 'secondary_color': None, 'primary_color': 0}, 'color': 0}, {'version': 1745598355354, 'unicode_emoji': None, 'tags': {}, 'position': 2, 'permissions': '0', 'name': 'Gamer', 'mentionable': False, 'managed': False, 'id': '1365362954186395802', 'icon': None, 'hoist': False, 'flags': 0, 'colors': {'tertiary_color': None, 'secondary_color': None, 'primary_color': 15277667}, 'color': 15277667}, {'version': 1745598355818, 'unicode_emoji': None, 'tags': {}, 'position': 1, 'permissions': '0', 'name': 'Legend', 'mentionable': False, 'managed': False, 'id': '1365363100773126206', 'icon': None, 'hoist': False, 'flags': 0, 'colors': {'tertiary_color': None, 'secondary_color': None, 'primary_color': 15844367}, 'color': 15844367}], 'premium_subscription_count': 0}}
[2025-04-25 22:04:41] [DEBUG   ] discord.client: Dispatching event socket_event_type
[2025-04-25 22:04:42] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': 'GUILD_MEMBERS_CHUNK', 's': 3, 'op': 0, 'd': {'nonce': '1df743c09da602065e5581605a245769', 'members': [{'user': {'username': 'rohit7be', 'public_flags': 0, 'primary_guild': None, 'id': '1268838238139973653', 'global_name': 'Rohit Singh', 'display_name': 'Rohit Singh', 'discriminator': '0', 'collectibles': None, 'clan': None, 'bot': False, 'avatar_decoration_data': None, 'avatar': 'f7f2e9361e8a54ce6e72580ac7b967af'}, 'roles': ['1365362954186395802'], 'premium_since': None, 'pending': False, 'nick': 'Bada bhaiya', 'mute': False, 'joined_at': '2025-02-26T17:46:49.044000+00:00', 'flags': 0, 'deaf': False, 'communication_disabled_until': None, 'banner': None, 'avatar': None}, {'user': {'username': 'atharvsingh123456', 'public_flags': 0, 'primary_guild': None, 'id': '1312751836943482920', 'global_name': 'Atharv Singh 123456', 'display_name': 'Atharv Singh 123456', 'discriminator': '0', 'collectibles': None, 'clan': None, 'bot': False, 'avatar_decoration_data': None, 'avatar': 'fd83c91b1aa4c1cca3bc7b215806abb9'}, 'roles': ['1365362954186395802'], 'premium_since': None, 'pending': False, 'nick': 'duggu', 'mute': False, 'joined_at': '2025-02-26T17:35:20.895000+00:00', 'flags': 0, 'deaf': False, 'communication_disabled_until': None, 'banner': None, 'avatar': None}, {'user': {'username': 'rohan_.0', 'public_flags': 0, 'primary_guild': None, 'id': '1353764131756572812', 'global_name': 'Rohan', 'display_name': 'Rohan', 'discriminator': '0', 'collectibles': None, 'clan': None, 'bot': False, 'avatar_decoration_data': None, 'avatar': '3e4b5abc11dce6cda6091a5fbf7863bd'}, 'roles': [], 'premium_since': None, 'pending': False, 'nick': 'Chote bhaiya', 'mute': False, 'joined_at': '2025-03-24T16:23:07.402000+00:00', 'flags': 0, 'deaf': False, 'communication_disabled_until': None, 'banner': None, 'avatar': None}, {'user': {'username': 'SigmaBot', 'public_flags': 0, 'primary_guild': None, 'id': '1365249312577159230', 'global_name': None, 'display_name': None, 'discriminator': '0638', 'collectibles': None, 'clan': None, 'bot': True, 'avatar_decoration_data': None, 'avatar': None}, 'roles': ['1365255432633057306'], 'premium_since': None, 'pending': False, 'nick': None, 'mute': False, 'joined_at': '2025-04-25T09:17:40.482000+00:00', 'flags': 0, 'deaf': False, 'communication_disabled_until': None, 'banner': None, 'avatar': None}], 'guild_id': '1344362179893137488', 'chunk_index': 0, 'chunk_count': 1}}
[2025-04-25 22:04:42] [DEBUG   ] discord.client: Dispatching event socket_event_type
[2025-04-25 22:04:42] [DEBUG   ] discord.state: Processed a chunk for 4 members in guild ID 1344362179893137488.
[2025-04-25 22:04:43] [DEBUG   ] discord.client: Dispatching event guild_available
[2025-04-25 22:04:43] [DEBUG   ] discord.client: Dispatching event ready
[2025-04-25 22:05:05] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': 'TYPING_START', 's': 4, 'op': 0, 'd': {'user_id': '1268838238139973653', 'timestamp': 1745599241, 'member': {'user': {'username': 'rohit7be', 'public_flags': 0, 'primary_guild': None, 'id': '1268838238139973653', 'global_name': 'Rohit Singh', 'display_name': 'Rohit Singh', 'discriminator': '0', 'collectibles': None, 'clan': None, 'bot': False, 'avatar_decoration_data': None, 'avatar': 'f7f2e9361e8a54ce6e72580ac7b967af'}, 'roles': ['1365362954186395802'], 'premium_since': None, 'pending': False, 'nick': 'Bada bhaiya', 'mute': False, 'joined_at': '2025-02-26T17:46:49.044000+00:00', 'flags': 0, 'deaf': False, 'communication_disabled_until': None, 'banner': None, 'avatar': None}, 'channel_id': '1344362180719677481', 'guild_id': '1344362179893137488'}}
[2025-04-25 22:05:05] [DEBUG   ] discord.client: Dispatching event socket_event_type
[2025-04-25 22:05:05] [DEBUG   ] discord.client: Dispatching event typing
